interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_flow;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapDensity;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;wizard_example;0;0.30;1;13;13.91;-319899829#2;0;0;0.30;14;0.15;0.33;4.58;63.79;12.84;0.92;5.06;4.21;0.00
0.00;3600.00;wizard_example;0;0.36;2;12;13.66;-319899829#3;0;0;0.36;14;0.18;0.42;3.31;45.41;10.53;0.76;10.09;2.87;0.00
0.00;3600.00;wizard_example;0;0.16;6;1;5.74;-319899829#4;0;0;0.16;7;0.09;0.21;3.11;18.54;9.41;0.68;4.01;2.50;0.00
0.00;3600.00;wizard_example;0;1.40;0;60;60.00;-319899831;0;0;1.40;60;0.69;1.44;12.52;751.12;11.95;0.86;108.19;12.12;0.00
0.00;3600.00;wizard_example;0;27.63;1;20;20.90;-319899833#0;0;0;27.63;21;14.17;29.85;275.57;5735.44;0.21;0.02;5641.18;253.96;5440.00
0.00;3600.00;wizard_example;0;1.40;2;59;60.95;-319899835;0;0;1.40;61;0.71;1.47;16.84;1026.22;11.81;0.85;133.06;16.08;1.00
0.00;3600.00;wizard_example;1;0.02;0;1;1.00;-319899837#0;0;0;0.02;0;0.01;0.02;11.71;11.71;13.70;0.99;0.57;11.33;0.00
0.00;3600.00;wizard_example;0;0.21;6;1;6.65;-319899837#1;0;0;0.21;7;0.11;0.22;10.57;70.49;8.72;0.63;24.69;9.86;0.00
0.00;3600.00;wizard_example;0;0.53;1;12;12.64;-319899838#1;0;0;0.53;13;0.27;0.73;2.98;37.93;6.49;0.47;15.84;2.18;0.00
0.00;3600.00;wizard_example;0;1.65;2;51;52.05;-319977059#1;0;0;1.65;52;0.83;1.67;63.82;3321.94;8.71;0.63;1260.50;62.76;854.00
0.00;3600.00;wizard_example;0;1.03;1;47;47.99;-319977059#2;0;0;1.03;48;0.51;1.04;49.78;2389.12;12.94;0.93;194.52;49.39;0.00
0.00;3600.00;wizard_example;0;1.04;1;47;47.98;-319977059#3;0;0;1.04;48;0.52;1.07;19.02;912.40;12.73;0.92;77.37;18.42;0.00
0.00;3600.00;wizard_example;2;0.97;3;42;44.07;-319977059#5;0;0;0.97;42;0.49;0.98;73.28;3229.31;12.58;0.91;339.59;72.73;0.00
0.00;3600.00;wizard_example;0;22.59;3;56;55.14;-319977060#0;0;0;22.59;47;11.31;22.69;197.62;10831.43;0.70;0.05;10263.27;195.54;9773.00
0.00;3600.00;wizard_example;0;1.60;2;64;65.77;-319977060#1;0;0;1.60;66;0.84;2.03;4.90;322.69;10.02;0.72;85.65;3.87;35.00
0.00;3600.00;wizard_example;0;0.28;1;11;11.94;-319977060#10;0;0;0.28;12;0.14;0.30;7.47;89.22;11.76;0.85;15.91;7.10;0.00
0.00;3600.00;wizard_example;0;1.19;1;51;51.82;-319977060#2;0;0;1.19;52;0.59;1.39;2.70;140.21;12.17;0.88;17.00;2.31;0.00
0.00;3600.00;wizard_example;0;1.02;3;42;44.65;-319977060#4;0;0;1.02;45;0.51;1.14;4.04;180.66;12.14;0.87;22.60;3.63;0.00
0.00;3600.00;wizard_example;0;1.12;3;38;40.09;-319977060#5;0;0;1.12;40;0.55;1.27;3.43;137.56;10.21;0.73;36.38;3.01;0.00
0.00;3600.00;wizard_example;0;1.24;3;28;28.00;-319977060#6;0;0;1.24;31;0.69;35.84;0.84;25.80;6.22;0.45;14.17;0.03;0.00
0.00;3600.00;wizard_example;0;0.96;0;21;21.00;-319977060#8;0;0;0.96;21;0.45;23.26;0.80;16.74;6.52;0.47;6.15;0.03;0.00
0.00;3600.00;wizard_example;0;0.39;1;16;16.94;-319977060#9;0;0;0.39;17;0.20;0.43;7.70;130.50;11.55;0.83;23.43;6.99;0.00
0.00;3600.00;wizard_example;0;0.87;1;34;34.96;-319977061#0;0;0;0.87;35;0.44;0.92;12.48;436.31;10.91;0.79;86.59;11.68;0.00
0.00;3600.00;wizard_example;0;0.71;0;30;30.00;-319977061#1;0;0;0.71;30;0.35;0.80;3.44;103.16;11.92;0.86;13.52;3.05;0.00
0.00;3600.00;wizard_example;0;0.55;1;23;23.37;-319977061#2;0;0;0.55;24;0.28;0.60;6.61;154.89;11.65;0.84;23.96;6.15;0.00
