tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1814.00;355214588#2_0;33.34;5.46;632.00;1.82;199050472#0_0;5.10;0.00;tripinfo_veh12981 routing_veh12981;1182.00;veh12981;1;6601.81;0.86;0.00;733.11;veh_passenger;;16;590.00
1814.00;1042418437#0_0;426.74;8.87;979.00;0.69;-898458090#1_0;5.10;0.00;tripinfo_veh20152 routing_veh20152;835.00;veh20152;1;4434.29;0.73;0.00;487.21;veh_passenger;;6;398.00
1815.00;1051068178_0;1067.72;12.88;949.00;0.94;-44770393#12_1;5.10;0.00;tripinfo_veh19529 routing_veh19529;866.00;veh19529;1;16086.40;0.94;0.00;150.14;veh_passenger;;2;52.00
1815.00;315595435#25_0;311.40;8.71;997.00;0.05;1042135578#0_0;5.10;0.00;tripinfo_veh20536 routing_veh20536;818.00;veh20536;1;3353.86;1.11;0.00;681.54;veh_passenger;;6;589.00
1815.00;1051244386#2_0;268.91;13.85;1030.00;0.33;-158675246#9_0;5.10;0.00;tripinfo_veh21210 routing_veh21210;785.00;veh21210;1;11822.43;1.08;0.00;261.27;veh_passenger;;2;109.00
1815.00;-1384921350#3_0;16.45;21.47;1683.00;0.48;446709229#11_0;5.10;0.00;tripinfo_veh34658 routing_veh34658;132.00;veh34658;1;1403.33;0.99;0.00;47.18;veh_passenger;;1;32.00
1816.00;378246884#8_0;190.59;4.06;474.00;0.53;1084651009#0_0;5.10;14.26;tripinfo_veh9753 routing_veh9753;1342.00;veh9753;1;6771.94;1.03;0.00;1007.76;veh_passenger;;19;727.00
1816.00;1220230514_0;115.21;10.43;1222.00;0.62;-902523968#0_0;5.10;0.00;tripinfo_veh25159 routing_veh25159;594.00;veh25159;1;2677.88;0.78;0.00;413.90;veh_passenger;;5;348.00
1817.00;-379260328_0;80.01;14.40;928.00;0.91;355391691#2_0;5.10;0.00;tripinfo_veh19097 routing_veh19097;889.00;veh19097;1;8951.70;1.09;0.00;423.28;veh_passenger;;3;282.00
1817.00;1049873919_0;72.34;13.82;976.00;0.85;1043849492#0_0;5.10;15.08;tripinfo_veh20087 routing_veh20087;841.00;veh20087;1;14548.15;1.09;0.00;216.09;veh_passenger;;3;36.00
1817.00;-315595435#25_0;311.99;24.40;1100.00;0.91;-1376961170#1_0;5.10;15.68;tripinfo_veh22640 routing_veh22640;717.00;veh22640;1;9771.42;1.13;0.00;236.33;veh_passenger;;1;66.00
1818.00;684340779#2_0;364.75;12.38;42.00;0.20;-569640933_0;5.10;13.37;tripinfo_veh861 routing_veh861;1776.00;veh861;1;34846.90;0.96;0.00;256.98;veh_passenger;;3;68.00
1818.00;-279806915#33_0;234.44;29.68;897.00;0.15;1376418855#0_0;5.10;0.00;tripinfo_veh18474 routing_veh18474;921.00;veh18474;1;4562.60;1.17;0.00;692.47;veh_passenger;;9;538.00
1818.00;-355391678#2_0;302.81;14.18;1053.00;0.27;-1388941872#1_0;5.10;14.59;tripinfo_veh21685 routing_veh21685;765.00;veh21685;1;3328.10;1.05;0.00;555.92;veh_passenger;;10;409.00
1818.00;1042171958#1_1;880.83;27.70;1534.00;0.47;26209719#3_0;5.10;0.00;tripinfo_veh31589 routing_veh31589;284.00;veh31589;1;3596.56;1.02;0.00;104.17;veh_passenger;;3;57.00
1818.00;41379357#8_0;87.83;23.22;1724.00;12.64;123722495#0_0;5.10;0.00;tripinfo_veh35252 routing_veh35252;94.00;veh35252;1;1741.25;1.05;0.00;17.84;veh_passenger;;0;0.00
